Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-330.9417	-444.4709	113.5292	0.9706245	0.8115895	6.541175	1.201645
6	-321.8756	-434.2181	112.3425	1.277113	2.935329	4.235074	1.260849
12	-310.9185	-425.1979	114.2795	1.203759	2.307014	1.146092	1.260849
18	-345.1613	-458.122	112.9607	1.2993	5.769648	1.737175	0.8322992
24	-356.109	-470.296	114.187	1.2993	1.068284	3.865653	0.5677284
30	-330.7347	-444.8806	114.1459	1.932036	5.505747	0.2849221	0.6809149
36	-346.6699	-461.8261	115.1562	1.932036	0.8859778	0.3463951	1.640364
42	-338.4475	-454.1835	115.736	1.848359	0.9327444	0.3463951	1.218545
48	-323.5524	-437.2296	113.6773	1.893853	4.099057	0.3254942	1.481084
54	-293.9144	-409.0632	115.1488	1.893853	2.432418	0.1465761	1.239376
60	-298.7549	-412.6411	113.8863	1.949968	2.432418	1.31778	0.3829116
66	-298.7482	-409.2937	110.5455	1.447573	1.548065	26.24033	0.737406
72	-291.1452	-403.2446	112.0995	1.36435	3.664675	5.812209	0.6107519
78	-308.0731	-420.4969	112.4238	1.125253	1.626992	7.028564	1.305489
84	-323.5343	-438.4034	114.8691	1.128341	0.8225837	1.884442	1.305489
90	-350.1244	-463.0138	112.8895	0.6995001	6.509435	1.736356	1.305489
96	-333.8277	-444.6534	110.8257	0.6995001	1.196167	5.357247	3.116423
102	-327.5394	-441.1867	113.6473	0.7419934	1.627417	4.846875	1.038726
108	-318.6637	-433.4783	114.8146	1.090279	2.354973	0.7894933	1.194611
114	-312.3583	-426.1967	113.8384	1.588875	2.354973	2.018045	0.5378137
120	-303.2859	-417.0545	113.7686	1.588875	1.210082	3.882754	0.5378137
126	-315.7627	-429.4243	113.6615	1.887069	2.296755	1.803823	0.3686996
132	-329.1118	-442.5756	113.4638	1.841484	4.664872	0.8015223	0.9034226
138	-323.9017	-438.415	114.5134	1.688201	2.213192	0.8598129	0.9034226
144	-320.5779	-434.2973	113.7193	1.703211	2.261858	2.061528	0.6352409
150	-299.9884	-413.9432	113.9548	1.753792	1.51631	2.44358	0.5337074
156	-304.7836	-419.5536	114.7701	2.172192	1.16661	0.9709124	0.3333994
162	-327.1175	-438.3773	111.2598	0.7975017	2.841861	1.995627	2.96692
168	-331.2275	-445.2768	114.0493	1.747388	1.57464	2.026795	0.7531085
174	-327.5105	-442.0192	114.5087	1.796134	0.9502906	2.168359	0.6528685
180	-328.1595	-441.8841	113.7246	1.113996	1.845934	3.536181	0.8639665
186	-319.8852	-432.2884	112.4032	0.5814631	2.35664	8.286167	1.208691
192	-330.7015	-443.327	112.6256	0.3756961	1.716036	4.950403	2.020817
198	-334.2892	-446.223	111.9338	0.9494703	3.092139	4.001734	1.81686
204	-341.5012	-451.3728	109.8716	2.203065	3.267719	13.92532	0.8943261
210	-339.8254	-452.1226	112.2972	0.8081571	4.634902	2.274232	1.788846
216	-325.0915	-438.3168	113.2253	0.7950512	3.832007	1.279595	1.785759
222	-319.314	-434.2841	114.9701	0.8024921	0.9632482	1.497781	1.560046
228	-345.166	-457.8414	112.6754	1.128759	1.850966	4.54032	1.480566
234	-338.7529	-447.3864	108.6335	1.115439	4.293463	32.93725	1.303996
240	-341.5259	-454.9126	113.3867	1.067335	3.741718	0.8180279	1.819013
246	-318.5637	-432.1259	113.5621	0.6684226	3.326608	1.195627	1.818751
252	-334.7385	-448.2937	113.5552	0.8988875	1.02177	1.769904	2.287617
258	-351.9629	-464.6381	112.6752	1.10922	1.400632	5.788868	1.472627
264	-330.347	-443.2005	112.8535	0.09033764	3.100815	3.095023	2.002213
270	-325.7585	-435.663	109.9044	0.0418687	2.172974	16.89135	2.579744
276	-329.5916	-441.538	111.9464	0.06699718	1.765111	5.681357	2.509383
282	-328.063	-440.8483	112.7853	0.1886423	1.765111	4.831525	2.040163
288	-321.659	-434.8305	113.1715	0.3152884	4.285645	2.986431	1.337843
294	-330.0373	-442.4577	112.4204	0.7691491	3.467766	0.6841681	2.799934
300	-327.6469	-441.8456	114.1987	1.501723	3.467766	0.5214625	1.265872
306	-318.0068	-429.4135	111.4067	1.0192	3.505829	9.4435	1.07953
312	-364.4641	-477.6201	113.156	1.616016	1.422609	4.090887	1.037595
318	-371.342	-485.5712	114.2292	1.278324	1.651379	1.101999	1.575352
324	-386.805	-499.5881	112.7831	1.072287	1.553814	4.604553	1.575352
330	-380.9842	-492.1563	111.172	0.780166	4.778128	7.387363	1.438513
336	-378.826	-492.0964	113.2703	0.8834864	0.9961921	4.567903	1.705826
342	-387.098	-500.8233	113.7253	0.5482418	1.856856	2.196251	1.812776
348	-385.2614	-497.3697	112.1083	0.3501478	4.408113	3.107268	2.011261
354	-393.3603	-506.2058	112.8455	0.5219392	1.277136	5.047042	1.974835
360	-383.6938	-493.937	110.2432	1.273178	1.916843	11.27707	2.100386
366	-380.1951	-489.4577	109.2627	0.1820776	1.916843	10.17267	3.469184
372	-357.378	-471.2132	113.8353	1.301249	1.596707	2.087076	1.349945
378	-364.7114	-477.4702	112.7588	0.703565	1.648172	3.690945	2.010621
384	-349.7475	-461.744	111.9965	0.4345019	1.648172	3.808811	2.641913
390	-391.715	-502.2366	110.5217	0.2625693	0.9913504	13.69783	2.809548
396	-395.9949	-508.596	112.6011	0.9910034	2.346329	3.870772	1.59039
402	-414.3212	-527.4484	113.1272	1.609524	2.238782	2.485183	1.182502
408	-411.2926	-526.057	114.7645	1.71368	2.193399	0.4879344	1.138795
414	-429.6259	-541.0136	111.3878	0.6847199	2.371435	5.834651	2.226912
420	-450.9792	-560.6932	109.714	1.445355	1.775259	31.42939	1.120303
426	-396.5268	-506.5397	110.0129	1.155578	1.775259	25.78708	1.413872
432	-390.7611	-502.1217	111.3605	1.174374	1.316658	14.12115	1.42182
438	-381.4506	-493.8087	112.3581	1.03121	2.479887	4.129325	1.625387
444	-380.4066	-491.571	111.1645	1.51298	3.981077	6.666064	1.176671
450	-367.6804	-481.4851	113.8047	1.51298	2.198048	1.17806	1.416757
456	-389.4398	-503.1399	113.7001	1.51298	2.738084	2.03112	0.6161682
462	-381.0954	-495.1298	114.0345	2.037067	6.157908	0.2235679	0.6887235
468	-393.9531	-508.6093	114.6562	1.406674	6.157908	0.2235679	0.704091
474	-387.0334	-498.5989	111.5655	1.406674	1.55407	5.890228	1.94949
480	-389.2685	-503.9022	114.6337	0.8663627	3.125908	0.514917	1.53514
486	-394.9669	-509.8025	114.8356	1.719551	1.425248	0.251949	1.826704
492	-409.3675	-520.4085	111.041	1.719551	2.888702	4.888438	1.77167
498	-453.0149	-564.2063	111.1914	0.4451867	4.060688	4.718076	2.256679
504	-438.5189	-546.6964	108.1776	1.237925	3.463593	7.207884	3.367933
510	-403.8392	-514.0859	110.2467	0.5103081	2.084206	4.395844	3.367933
516	-408.0446	-517.954	109.9094	0.6543467	1.904622	5.444802	3.367933
522	-402.9731	-514.1757	111.2026	0.7206431	3.144401	4.582766	2.314763
528	-390.1455	-504.2576	114.1122	1.570585	2.890221	1.143129	0.7879401
534	-376.5713	-488.3156	111.7444	1.497292	4.67799	4.86229	0.8455681
540	-379.4853	-492.1694	112.6841	1.34811	4.67799	2.995834	0.6111806
546	-382.7472	-494.4946	111.7473	1.339618	3.1536	7.239252	0.9647761
552	-399.6497	-511.7254	112.0757	1.339618	2.775889	6.470675	0.9647761
558	-368.7448	-480.978	112.2332	1.40081	4.084704	3.13115	1.220803
564	-381.9614	-492.2537	110.2923	1.903877	2.819736	13.76204	0.9866742
570	-379.6122	-492.2211	112.6089	2.629818	2.331361	1.516923	0.1448015
576	-376.3926	-487.5738	111.1812	2.509887	3.425368	3.149081	0.1122141
582	-386.8283	-499.0675	112.2392	2.605395	4.428726	1.216929	0.1951114
588	-395.6636	-509.3423	113.6787	2.605395	1.12366	1.596178	0.2265952
594	-393.4717	-508.7867	115.315	2.605395	1.643742	0.1588984	0.300414
600	-383.1613	-498.309	115.1477	2.916298	1.418687	0.1885152	0.3814363
606	-366.5549	-480.8417	114.2868	2.916298	2.555567	0.2359685	0.3315361
612	-367.9975	-482.6404	114.6429	2.916298	2.555567	0.143763	0.4576307
618	-365.926	-480.3869	114.4609	2.916298	2.963933	0.143763	0.4981407
624	-369.5582	-484.2398	114.6816	2.916298	2.963933	0.08846211	0.4981407
630	-356.3456	-470.8275	114.4819	2.93612	3.106044	0.08846211	0.7865691
636	-366.3935	-481.2097	114.8162	3.188691	1.987476	0.1061547	0.5530717
642	-364.7182	-479.0713	114.3532	3.188691	3.396719	0.06289549	0.508603
648	-358.593	-472.4422	113.8491	3.188691	4.888574	0.04696031	0.7456459
654	-376.1692	-490.6307	114.4616	2.894079	3.131555	0.04696031	1.062384
660	-377.7543	-491.3296	113.5752	2.894079	6.675434	0.06715513	0.7763688
666	-395.8016	-509.4725	113.6709	2.894079	6.675434	0.06715513	0.5980221
672	-373.1851	-486.8791	113.6941	2.904862	3.476771	0.2991678	0.2880711
678	-389.0749	-503.6783	114.6034	2.904862	2.452639	0.1677019	0.6150088
684	-391.2445	-504.7766	113.5321	3.15716	3.964678	0.1769497	0.2490139
690	-426.9363	-540.649	113.7127	3.15716	3.964678	0.1769497	0.5901187
696	-397.0295	-509.5792	112.5497	3.15716	10.70902	0.0736443	0.2938736
702	-386.3119	-500.7564	114.4445	3.15716	3.075486	0.0736443	0.5980521
708	-402.1913	-516.6419	114.4506	2.320224	2.942534	0.1447603	1.273469
714	-413.3254	-527.1244	113.799	2.211	4.344997	0.2230887	1.273469
720	-413.0407	-525.0987	112.058	1.228769	7.399625	2.834821	0.8572486
726	-406.8113	-517.6401	110.8288	1.186034	5.374023	10.39026	0.7046902
732	-414.2239	-527.2937	113.0699	0.768574	2.997578	2.986041	1.431809
738	-410.7108	-521.4897	110.7789	0.4385556	6.072706	4.173789	2.271871
744	-391.2641	-502.7953	111.5312	0.7293724	4.215389	3.699995	2.031849
750	-403.2428	-513.1509	109.9081	0.2480872	0.6509222	45.90334	2.080517
756	-353.6702	-466.3829	112.7126	0.3509581	0.6509222	10.58357	1.875934
762	-335.858	-449.3083	113.4503	0.6353936	2.91009	1.89975	1.682986
768	-334.7712	-449.0091	114.2378	0.5890887	1.649312	0.7312959	2.306481
774	-335.3008	-448.2843	112.9835	1.376474	3.373083	1.830191	1.369428
780	-336.6685	-448.2716	111.6031	1.048447	2.638945	6.090055	1.708088
786	-343.4649	-456.189	112.7241	1.514752	2.638945	1.300902	1.952898
792	-328.395	-441.9866	113.5917	1.11406	2.638945	1.567706	1.478843
798	-342.0284	-454.6286	112.6002	1.03965	2.154308	6.483146	1.047158
804	-318.1486	-430.4775	112.3289	1.040476	4.111412	4.234806	1.094239
810	-330.6446	-443.3925	112.748	0.9543868	2.841213	4.27267	1.215935
816	-341.6287	-452.6512	111.0225	0.702385	3.73677	7.321149	1.852588
822	-365.3371	-478.8275	113.4904	1.638004	2.96785	1.102863	1.327639
828	-354.4081	-466.9586	112.5505	1.093675	2.67727	2.2968	1.906002
834	-336.3411	-449.6749	113.3337	0.6998319	1.505433	5.241206	1.327712
840	-327.6654	-440.0317	112.3663	1.292958	2.158626	5.219155	1.300907
846	-308.7144	-421.026	112.3116	0.8051248	1.224174	7.448515	1.790856
852	-356.0763	-469.0479	112.9716	0.697412	5.6139	2.370629	1.107144
858	-334.8399	-448.652	113.8121	0.8453166	5.873048	0.9324314	1.081702
864	-331.4727	-442.4434	110.9707	0.8367793	5.206119	10.01007	1.068425
870	-326.0074	-440.1023	114.0949	1.461993	3.7704	0.5347924	1.275606
876	-332.6679	-445.6323	112.9644	1.003135	3.422683	3.292274	1.076061
882	-332.9993	-442.0659	109.0665	0.7346499	3.847092	14.47001	2.381412
888	-337.3838	-447.7396	110.3558	1.173612	4.581021	4.552923	2.251453
894	-321.7199	-435.1066	113.3867	0.5287452	2.047485	4.171948	1.39371
900	-313.428	-428.6336	115.2056	1.008241	2.047485	0.7872837	1.070138
906	-315.5846	-429.8416	114.257	1.169756	2.314314	1.476604	1.070138
912	-327.2508	-438.5667	111.3159	1.443425	2.040634	14.81209	0.5339458
918	-318.4424	-431.6693	113.2268	0.9713036	2.123304	2.833834	1.530866
924	-311.7378	-424.6022	112.8644	1.052524	2.399293	4.012902	1.282727
930	-318.1272	-431.4699	113.3427	1.319985	2.861637	2.475656	0.9732533
936	-316.6614	-430.9074	114.246	1.799728	2.954265	0.8509994	0.3974698
942	-306.6465	-421.3978	114.7513	1.799728	2.820607	0.5187159	0.6127513
948	-309.5677	-422.8483	113.2806	0.7403142	3.586352	3.174787	1.011024
954	-299.9077	-411.1055	111.1979	0.8190099	3.586352	12.52305	1.011024
960	-284.0159	-395.1096	111.0936	0.6546136	2.377896	12.52305	1.651068
966	-296.0157	-407.8035	111.7877	0.640505	1.621899	10.33068	1.705638
972	-286.916	-401.3498	114.4339	1.54455	2.555451	0.2806268	1.705638
978	-285.9204	-399.3508	113.4304	0.6229635	1.720157	3.046545	1.745107
984	-307.7326	-420.5703	112.8377	1.082443	1.720157	5.520651	1.237888
990	-298.9155	-411.4347	112.5192	1.337044	1.85126	7.671795	0.7041662
996	-316.5292	-427.1317	110.6025	1.895448	5.513437	7.671795	0.4158338
